Title,Channel Name,Channel Logo,Thumbnail URL,Video URL,Views,Time Uploaded
Python Programming Full Tutorial in One Video (2024) | Python full course,CoDing SeeKho(by Vikas Singh),https://yt3.ggpht.com/kVdUh_y72y0I6rfRTpP0mFcl-VdvAYvAOPvKNuER3fYVefbR0GFIBX8FYVnie6WE6FrQtF23OQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/0v3bpmHc02I/hqdefault.jpg,https://www.youtube.com/watch?v=0v3bpmHc02I&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,351K views,4 months ago
Python in 100 Seconds,Fireship,https://yt3.ggpht.com/ytc/AIdro_ltOWCZT10fChupyd1atupxII0RoP97CwYGr0Gphw=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/x7X9w_GIm1s/hqdefault_4900.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5JlN4asUSpM82WX3XUeKAC2k5KQ,https://www.youtube.com/watch?v=x7X9w_GIm1s&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,2.3M views,2 years ago
Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],TechWorld with Nana,https://yt3.ggpht.com/kXyR8Aa32KXnZWVdkAFUYK5utM752kSJPHGtYiJ4ev6BmdFHi-dl1EFbI3TogmHBjszwc7m2=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/t8pPdKYpowI/hqdefault_3866.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBFUgcgZ-pihwTrMoh0APifqN6A2w,https://www.youtube.com/watch?v=t8pPdKYpowI&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,5.3M views,2 years ago
Python Tutorial in Hindi | Learn Python in Hindi | Python Full Course in Hindi | Python Tutorial,Great Learning,https://yt3.ggpht.com/ytc/AIdro_m30G90Yxx5jWiLtWvfDCozJnvYRD4XEY7zv7jZ6A=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi_webp/eTyI-M50Hu4/hqdefault.webp,https://www.youtube.com/watch?v=eTyI-M50Hu4&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,2.2M views,3 years ago
Python in 8 Minutes (in Hindi) 🐍,CodeWithHarry,https://yt3.ggpht.com/ytc/AIdro_krnyU9zev1u94JYs4opG8p1sYE3HQ9oButitIb7A=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/JdG1cVFyj5A/hqdefault_14300.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6JxAqdfrSuMw5f94Si7pgcYAvng,https://www.youtube.com/watch?v=JdG1cVFyj5A&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,1.1M views,2 years ago
Python Tutorial for Beginners - Full Course in 12 Hours (2022),Clever Programmer,https://yt3.ggpht.com/ytc/AIdro_nbK_D94OcXEb4TJMW2JzTTtdB6DjfZPQpaSlcLfQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/B9nFMZIYQl0/hqdefault.jpg,https://www.youtube.com/watch?v=B9nFMZIYQl0&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,426K views,1 year ago
Learn Python in 2 Hours: The Complete Course for Beginners in Tamil,code io - Tamil,https://yt3.ggpht.com/qfHTnvlLYA6g79SFWdY4tbE9waKAj0GmgbnMlXwfHRV-Awqu6sHYKOMScLh1az3w1iNF_64_ETQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/xErUnOKQbFw/hqdefault_14100.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTMGO5DnZ3p2jFy-Xf6CXmTgYr5Q,https://www.youtube.com/watch?v=xErUnOKQbFw&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,628K views,2 years ago
Python Tutorial For Beginners in Hindi | Python Full Course in Hindi | Complete Python Tutorial,Micro Solution,https://yt3.ggpht.com/ytc/AIdro_n948JrjuDYzmO_fzgabxeWUO9s9Lc4NGOkO0yiDw=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/aXemrB2ATdA/hqdefault.jpg,https://www.youtube.com/watch?v=aXemrB2ATdA&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,566K views,2 years ago
Python Tutorial - Python Full Course for Beginners in Tamil,Error Makes Clever Academy,https://yt3.ggpht.com/Vd-4igGVIeL872Xje2tGDZKnfj5wT9AUN1mLhVAL9cP-TNuDy8BtD0X8YdzzGX4K7TSRpPq6=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/m67-bOpOoPU/hqdefault.jpg,https://www.youtube.com/watch?v=m67-bOpOoPU&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,2.2M views,8 months ago
Python Tutorial for Beginners - Full Course in 12 Hours (2022),Clever Programmer,https://yt3.ggpht.com/ytc/AIdro_nbK_D94OcXEb4TJMW2JzTTtdB6DjfZPQpaSlcLfQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/B9nFMZIYQl0/hqdefault.jpg,https://www.youtube.com/watch?v=B9nFMZIYQl0&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,426K views,1 year ago
